experiment,model,DR,granularity,split,features,MAE,RMSE,R2,R2_std
E1E2,linear_regression,peak_clipping,raw,random,env_lags,13.656,17.431,0.5857,
E1E2,random_forest,peak_clipping,raw,random,env_lags,8.806,12.596,0.7837,
E1E2,svr,peak_clipping,raw,random,env_lags,10.269,13.926,0.7356,
E1E2,knn,peak_clipping,raw,random,env_lags,11.122,15.199,0.685,
E1E2,gbm,peak_clipping,raw,random,env_lags,8.698,12.35,0.7921,
E1E2,xgboost,peak_clipping,raw,random,env_lags,8.668,12.381,0.791,
E1E2,persistence,peak_clipping,raw,random,env_lags,31.195,71.775,-1.0,
E1E2,seasonal_naive,peak_clipping,raw,random,env_lags,42.181,82.585,-1.0,
E1E2,ets,peak_clipping,raw,random,env_lags,40.246,53.07,-1.0,
E1E2,lstm,peak_clipping,raw,random,env_lags,9.026,12.513,0.7863,
E1E2,cnn_lstm,peak_clipping,raw,random,env_lags,8.862,12.398,0.7901,0.0024
E1E2,linear_regression,valley_filling,raw,random,env_lags,24.978,52.062,0.576,
E1E2,random_forest,valley_filling,raw,random,env_lags,21.584,49.131,0.6224,
E1E2,svr,valley_filling,raw,random,env_lags,30.733,54.039,0.5432,
E1E2,knn,valley_filling,raw,random,env_lags,26.379,58.15,0.471,
E1E2,gbm,valley_filling,raw,random,env_lags,21.292,48.541,0.6314,
E1E2,xgboost,valley_filling,raw,random,env_lags,21.283,48.211,0.6364,
E1E2,persistence,valley_filling,raw,random,env_lags,27.053,57.461,0.4835,
E1E2,seasonal_naive,valley_filling,raw,random,env_lags,54.156,100.873,-0.5918,
E1E2,ets,valley_filling,raw,random,env_lags,56.759,83.162,-0.0819,
E1E2,lstm,valley_filling,raw,random,env_lags,21.66,48.795,0.6267,
E1E2,cnn_lstm,valley_filling,raw,random,env_lags,21.503,48.907,0.6244,0.005
E1E2,linear_regression,load_shifting,raw,random,env_lags,27.382,50.122,0.5055,
E1E2,random_forest,load_shifting,raw,random,env_lags,20.528,43.414,0.629,
E1E2,svr,load_shifting,raw,random,env_lags,31.514,50.491,0.4982,
E1E2,knn,load_shifting,raw,random,env_lags,27.275,52.187,0.4639,
E1E2,gbm,load_shifting,raw,random,env_lags,20.516,43.236,0.632,
E1E2,xgboost,load_shifting,raw,random,env_lags,20.052,42.511,0.6443,
E1E2,persistence,load_shifting,raw,random,env_lags,46.722,70.947,0.0092,
E1E2,seasonal_naive,load_shifting,raw,random,env_lags,69.829,106.329,-1.0,
E1E2,ets,load_shifting,raw,random,env_lags,75.397,93.814,-0.7325,
E1E2,lstm,load_shifting,raw,random,env_lags,22.081,44.947,0.6026,
E1E2,cnn_lstm,load_shifting,raw,random,env_lags,22.5,44.646,0.6066,0.0098
E1E2,linear_regression,load_leveling,raw,random,env_lags,18.778,33.886,0.6125,
E1E2,random_forest,load_leveling,raw,random,env_lags,15.153,30.894,0.6779,
E1E2,svr,load_leveling,raw,random,env_lags,21.334,34.34,0.6021,
E1E2,knn,load_leveling,raw,random,env_lags,18.084,35.794,0.5677,
