model,DR,scheme,MAE,RMSE,R2
linear_regression,peak_clipping,raw,13.6561,17.4311,0.5857
linear_regression,peak_clipping,ma3,10.0217,12.5648,0.7204
linear_regression,peak_clipping,ma6,8.0803,10.0529,0.7717
linear_regression,peak_clipping,ema_alpha_0.3,16.6013,20.6753,0.4172
random_forest,peak_clipping,raw,8.8141,12.6322,0.7824
random_forest,peak_clipping,ma3,5.5553,7.4175,0.9026
random_forest,peak_clipping,ma6,4.1634,5.3459,0.9355
random_forest,peak_clipping,ema_alpha_0.3,13.7718,17.8808,0.5641
svr,peak_clipping,raw,10.2693,13.9258,0.7356
svr,peak_clipping,ma3,6.703,8.7361,0.8648
svr,peak_clipping,ma6,5.0573,6.4448,0.9062
svr,peak_clipping,ema_alpha_0.3,13.924,18.1008,0.5533
knn,peak_clipping,raw,11.1222,15.1993,0.685
knn,peak_clipping,ma3,7.387,9.9468,0.8248
knn,peak_clipping,ma6,5.5783,7.2656,0.8808
knn,peak_clipping,ema_alpha_0.3,14.4436,18.7958,0.5183
persistence,peak_clipping,raw,31.1951,71.7748,-1.0
persistence,peak_clipping,ma3,26.4961,54.7602,-1.0
persistence,peak_clipping,ma6,24.8205,46.7827,-1.0
persistence,peak_clipping,ema_alpha_0.3,29.7914,47.122,-1.0
seasonal_naive,peak_clipping,raw,42.181,82.5848,-1.0
seasonal_naive,peak_clipping,ma3,37.248,66.1456,-1.0
seasonal_naive,peak_clipping,ma6,34.2908,57.1215,-1.0
seasonal_naive,peak_clipping,ema_alpha_0.3,37.2463,56.8556,-1.0
ets,peak_clipping,raw,40.2458,53.0704,-1.0
ets,peak_clipping,ma3,34.6356,44.1542,-1.0
ets,peak_clipping,ma6,29.6834,37.4831,-1.0
ets,peak_clipping,ema_alpha_0.3,30.5883,39.2634,-1.0
lstm,peak_clipping,raw,9.0259,12.5126,0.7863
lstm,peak_clipping,ma3,5.6576,7.4516,0.9015
lstm,peak_clipping,ma6,4.2542,5.3898,0.9342
lstm,peak_clipping,ema_alpha_0.3,13.8009,17.8964,0.5629
linear_regression,valley_filling,raw,24.9782,52.0615,0.576
